"CommuteDays","MilesOneWay","Bus"
5,9.574274309,"No"
6,9.574274309,"No"
5,9.574274309,"No"
5,9.574274309,"No"
5,9.574274309,"No"
5,9.574274309,"No"
5,9.574274309,"No"
5,9.574274309,"No"
5,9.574274309,"Yes"
5,11.68400954,"No"
3,9.574274309,"No"
5,9.574274309,"No"
5,9.574274309,"Yes"
4,9.574274309,"Yes"
5,9.574274309,"No"
5,9.574274309,"No"
5,9.574274309,"No"
5,11.68400954,"No"
5,9.574274309,"Yes"
5,9.574274309,"No"
5,11.68400954,"Yes"
5,11.68400954,"Yes"
5,11.68400954,"No"
5,9.574274309,"Yes"
3,11.68400954,"No"
5,9.574274309,"No"
5,11.68400954,"No"
5,9.574274309,"No"
5,11.68400954,"Yes"
5,11.68400954,"No"
5,11.68400954,"Yes"
5,11.68400954,"No"
5,11.68400954,"No"
5,9.574274309,"No"
6,11.68400954,"No"
3,11.68400954,"Yes"
5,11.68400954,"Yes"
5,11.68400954,"No"
5,9.574274309,"No"
5,9.574274309,"No"
5,11.68400954,"No"
5,9.574274309,"No"
5,9.574274309,"No"
5,9.574274309,"No"
5,11.68400954,"No"
5,9.574274309,"No"
5,9.574274309,"No"
5,9.574274309,"No"
4,9.574274309,"No"
5,9.574274309,"No"
5,9.574274309,"Yes"
5,11.68400954,"Yes"
5,9.574274309,"Yes"
5,9.574274309,"Yes"
5,9.574274309,"Yes"
5,9.574274309,"No"
5,11.68400954,"No"
3,9.574274309,"No"
5,9.574274309,"No"
5,9.574274309,"Yes"
5,9.574274309,"No"
5,9.574274309,"No"
4,9.574274309,"No"
5,9.574274309,"No"
5,11.68400954,"No"
5,9.574274309,"No"
5,9.574274309,"No"
4,9.574274309,"Yes"
5,9.574274309,"Yes"
5,9.574274309,"Yes"
5,9.574274309,"Yes"
5,9.574274309,"No"
5,9.574274309,"No"
5,9.574274309,"Yes"
5,9.574274309,"No"
5,9.574274309,"No"
5,9.574274309,"Yes"
3,9.574274309,"No"
5,9.574274309,"Yes"
5,9.574274309,"Yes"
5,9.574274309,"Yes"
5,9.574274309,"No"
5,9.574274309,"No"
5,9.574274309,"No"
5,9.574274309,"No"
5,9.574274309,"No"
5,9.574274309,"Yes"
5,9.574274309,"Yes"
4,9.574274309,"No"
5,15.7167151,"No"
5,20.05718732,"No"
5,17.45079346,"Yes"
4,17.45079346,"No"
4,17.45079346,"No"
5,23.07829686,"Yes"
5,25.68124139,"Yes"
5,23.07829686,"No"
5,23.07829686,"Yes"
5,23.07829686,"No"
5,25.68124139,"No"
5,23.07829686,"No"
5,23.07829686,"No"
5,23.07829686,"Yes"
5,23.07829686,"Yes"
5,23.07829686,"No"
3,25.68124139,"No"
5,21.76574386,"No"
5,21.71023821,"No"
5,21.71023821,"No"
5,21.76574386,"No"
5,21.76574386,"No"
5,21.76574386,"Yes"
5,21.76574386,"No"
6,21.76574386,"No"
5,21.76574386,"No"
5,12.44812801,"No"
5,12.44812801,"Yes"
5,12.44812801,"No"
5,12.44812801,"No"
5,12.44812801,"No"
5,12.44812801,"No"
5,10.71652439,"No"
5,10.71652439,"No"
5,12.44812801,"Yes"
5,12.44812801,"No"
5,10.71652439,"No"
5,12.44812801,"No"
5,10.71652439,"No"
5,10.71652439,"No"
5,12.44812801,"No"
5,10.71652439,"No"
5,12.44812801,"No"
6,12.44812801,"No"
4,12.44812801,"No"
5,12.44812801,"No"
7,10.71652439,"No"
5,12.44812801,"No"
5,12.44812801,"Yes"
5,12.44812801,"Yes"
5,10.71652439,"No"
5,10.71652439,"No"
5,10.71652439,"No"
5,12.44812801,"No"
5,10.71652439,"No"
5,10.71652439,"No"
5,10.71652439,"No"
3,10.71652439,"No"
5,10.71652439,"No"
3,10.71652439,"No"
5,10.71652439,"No"
4,12.44812801,"Yes"
5,12.44812801,"No"
5,12.44812801,"No"
4,10.71652439,"No"
5,12.44812801,"No"
5,12.44812801,"No"
5,10.71652439,"No"
5,12.44812801,"Yes"
5,12.44812801,"No"
5,10.71652439,"No"
5,12.44812801,"No"
5,12.44812801,"No"
5,10.71652439,"No"
5,12.44812801,"No"
5,12.44812801,"Yes"
5,10.71652439,"No"
