WPRDC_ID,HomeZipCode,Destination,Other,MilesOneWay,CommuteDays,PrimaryMode,PrimaryModePercentCommute,PrimaryModeNumberTrips,SecondaryMode,SecondaryModePercentCommute,SecondaryModeNumberTrips,TertiaryMode,TertiaryModePercentCommute,TertiaryModeNumberTrips
10156,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,Carpool,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
10168,15220,Other (please specify),Strip District,,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
10217,15220,Other (please specify),Hazelwood,,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
10262,15220,Other (please specify),North Side,,5,Carpool,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
10263,15220,Other (please specify),North Side,,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",50,5,Drive Alone,50,5,I do not use a third transportation method,0,0
10285,15220,Oakland,,5.341066884,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
10305,15220,Other (please specify),North Side,,3,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,6,I only commute by one method,0,0,I do not use a third transportation method,0,0
10315,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",80,8,Bus,20,2,I do not use a third transportation method,0,0
10335,15220,Other (please specify),Banksville,,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",50,5,Drive Alone,50,5,I do not use a third transportation method,0,0
10339,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,Bus,100,10,Drive Alone,0,0,I do not use a third transportation method,0,0
10460,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
10462,15220,Other (please specify),Allentown,,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
10525,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,Bus,0,0,I do not use a third transportation method,0,0
10571,15220,Other (please specify),Higland Park,,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
10647,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
10671,15220,Other (please specify),South Side,,7,Bus,100,14,I only commute by one method,0,0,I do not use a third transportation method,0,0
10697,15220,Oakland,,5.341066884,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
10768,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,Bus,100,10,Carpool,0,0,I do not use a third transportation method,0,0
10770,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,Bus,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
10797,15220,Other (please specify),Other,,4,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,8,I only commute by one method,0,0,I do not use a third transportation method,0,0
11004,15220,Oakland,,5.341066884,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",90,9,Bus,10,1,I do not use a third transportation method,0,0
11006,15220,Other (please specify),Shadyside,,5,Bus,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
11385,15220,Oakland,,5.341066884,5,Bus,100,10,I only commute by one method,0,0,,0,0
11593,15220,Oakland,,5.341066884,5,Bus,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
11703,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,Bus,80,8,Carpool,20,2,,0,0
